ending,count
no,117
ro,183
ro,182
si,25
zo,21
da,10
de,36
de,35
jo,260
wo,98
ka,29
ti,14
we,84
so,82
ja,162
to,173
ro2,6
we,83
de,34
de,33
ka,28
to,172
ro,181
no,116
ja,161
jo,259
ke,20
na,38
*79,2
o,31
ko,68
ro,180
ja,160
jo,258
jo,257
ne,37
we,82
ra2,9
te,53
we,81
sa,20
wo,97
ta,158
te,52
jo,256
we,80
to,171
to,170
e,15
ro,179
qe,20
qo,23
ta,157
wa,38
to,169
u,118
no,115
ka,27
de,32
jo,255
jo,254
jo,253
no,114
wo,96
ne,36
jo,252
no,113
u,117
te,51
no,112
ne,35
jo,251
de,31
to,168
wa,37
de,30
wo,95
ke,19
a2,6
to,167
si,24
o,30
qe,19
no,111
wo,94
te,50
re,27
mo,50
se,4
u,116
te,49
wa,36
jo,250
ro,178
ta,156
re,26
jo,249
ra2,8
ja,159
ja,158
ja,157
ro,177
u,115
ta,155
to,166
u,114
ja,156
to,165
to,164
ta,154
jo,248
mo,49
mo,48
mo,47
da,9
jo,247
ra,57
jo,246
ro,176
mo,46
ro,175
ta,153
we,79
ne,34
ta,152
u,113
to,163
no,110
wo,93
ja,155
wo,92
jo,245
i,21
jo,244
ro,174
wo,91
wo,90
ma,9
to,162
no,109
ta,151
to,161
wo,89
na,37
a,14
ja,154
si,23
no,108
to,160
ja,153
to,159
so,81
so,80
ta,150
ja,152
no,107
mo,45
to,158
re,25
ma,8
jo,243
de,29
re,24
ja,151
wo,88
wo,87
*82,3
ka,26
e,14
ti,13
to,157
ta,149
u,112
u,111
to,156
a2,5
mo,44
o,29
to,155
de,28
wa,35
da,8
te,48
ja,150
to,154
ko,67
wa,34
we,78
de,27
no,106
po,22
we,77
to,153
no,105
ja,149
ta,148
ta,147
ta,146
we,76
jo,242
ko,66
mo,43
no,104
to,152
wa,33
to,151
ko,65
jo,241
ne,33
jo,240
jo,239
u,110
jo,238
u,109
pi,28
ja,148
jo,237
jo,236
ta,145
wa,32
ro,173
sa,19
ke,18
ke,17
ke,16
si,22
ja,147
si,21
si,20
e,13
wo,86
o,28
re,23
wo,85
ne,32
u,108
ra2,7
ro,172
ta,144
ra,56
ra,55
ta,143
jo,235
de,26
jo,234
we,75
ro,171
ta,142
to,150
wo,84
jo,233
we,74
ja,146
wa,31
to,149
pi,27
ke,15
jo,232
re,22
jo,231
a,13
te,47
we,73
te,46
ra,54
te,45
si,19
mo,42
pu,2
we,72
ke,14
ka,25
ke,13
si,18
ko,64
we,71
ja,145
ka,24
we,70
ro,170
to,148
mo,41
i,20
ra,53
ro,169
ru,8
ta,141
ta,140
we,69
ta,139
jo,230
jo,229
jo,228
ja,144
ko,63
ro,168
na,36
ja,143
jo,227
re,21
jo,226
ne,31
i,19
ja,142
jo,225
qe,18
u,107
to,147
re,20
wo,83
pa,12
o,27
o,26
u,106
e,12
si,17
jo,224
to,146
to,145
to,144
to,143
wo,82
ta2,5
u,105
to,142
ke,12
wo,81
to,141
wo,80
u,104
ko,62
qa,10
qo,22
we,68
wo,79
o,25
ja,141
u,103
ka,23
mo,40
pa,11
po,21
ta,138
ra,52
ra,51
we,67
wo,78
ta,137
za,10
zo,20
a,12
a,11
o,24
to,140
to,139
pi,26
ro,167
e,11
ja,140
ja,139
qo,21
ja,138
jo,223
na,35
jo,222
ta,136
u,102
we,66
ta,135
ja,137
no,103
o,23
ra,50
jo,221
ro,166
we,65
nu,8
ro,165
wo,77
u,101
ta,134
jo,220
jo,219
to,138
mo,39
wo,76
jo,218
a,10
ja,136
ke,11
we,64
jo,217
ja,135
wo,75
jo,216
ka,22
ja,134
mo,38
ja,133
ro,164
to,137
ja,132
mo,37
na,34
qo,20
qo,19
ko,61
ta,133
to,136
qe,17
na,33
u,100
na,32
ja,131
so,79
ta,132
ra,49
u,99
pi,25
mo,36
to,135
jo,215
ro,163
jo,214
jo,213
o,22
ta,131
ja,130
to,134
u,98
ta,130
jo,212
re,19
ki,4
ja,129
ra,48
jo,211
jo,210
te,44
no,102
te,43
wo,74
a,9
e,10
sa,18
te,42
ta,129
po,20
ro,162
to,133
jo,209
na,31
jo,208
ra,47
ma,7
ta,128
u,97
ta,127
to,132
ja,128
jo,207
ja,127
we,63
o,21
ta,126
po,19
de,25
jo,206
ro,161
to,131
ta,125
jo,205
wa,30
we,62
jo,204
no,101
ja,126
sa,17
we,61
jo,203
jo,202
si,16
ro,160
we,60
te,41
te,40
qo,18
to,130
ja,125
wa,29
ja,124
ta,124
to,129
no,100
ro,159
za,9
ro,158
ta,123
pi,24
qe,16
to,128
we,59
wa,28
jo,201
de,24
ro,157
mo,35
ta2,4
te,39
ra,46
ra,45
ta,122
ta,121
jo,200
jo,199
te,38
to,127
to,126
ta,120
ja,123
ja,122
jo,198
de,23
u,96
ta,119
ta,118
ra,44
ro,156
wo,73
to,125
ro,155
pi,23
ta,117
ro,154
so,78
te,37
te,36
jo,197
ja,121
jo,196
mo,34
mi,6
ro,153
na,30
jo,195
ko,60
mo,33
ri,12
wo,72
nwa,5
nwa,4
nwa,3
nwa,2
ta,116
to,124
zo,19
jo,194
ko,59
ro,152
*56,2
to,123
mo,32
ro,151
mo,31
ja,120
wa,27
ja,119
u,95
ro,150
ro,149
ro,148
no,99
ro,147
pi,22
wi,4
wo,71
zo,18
no,98
na,29
we,58
to,122
u,94
wo,70
to,121
ko,58
si,15
te,35
ja,118
jo,193
qe,15
mo,30
mo,29
i,18
jo,192
ro,146
jo,191
jo,190
ra,43
ro,145
ja,117
jo,189
jo,188
ta,115
re,18
o,20
ro,144
si,14
me,6
mo,28
ta,114
ro,143
wo,69
ro,142
to,120
zo,17
ta,113
pa,10
ja,116
jo,187
jo,186
ra,42
ro,141
ra,41
qo,17
ra,40
ro,140
qo,16
no,97
jo,185
ro,139
so,77
so,76
ja,115
jo,184
we,57
ja,114
so,75
ta,112
wo,68
ja,113
u,93
jo,183
jo,182
ra,39
wo,67
ne,30
so,74
ta,111
so,73
zo,16
de,22
ra,38
ro,138
i,17
ta,110
ja,112
u,92
no,96
ro,137
so,72
qe,14
we,56
we,55
no,95
o,19
wo,66
jo,181
u,91
qo,15
mo,27
ja,111
no,94
wa,26
jo,180
so,71
ma,6
ni,8
ja,110
jo,179
jo,178
zo,15
so,70
ja,109
u,90
ri,11
po,18
mo,26
ni,7
so,69
to,119
wa,25
jo,177
jo,176
to,118
u,89
u,88
sa,16
si,13
to,117
te,34
no,93
ra,37
we,54
u,87
jo,175
ta,109
ke,10
a,8
mo,25
mi,5
ja,108
ta,108
jo,174
ja,107
to,116
de,21
to,115
ne,29
wo,65
ne,28
wo,64
na,28
ro,136
no,92
se,3
si,12
jo,173
ki,3
no,91
wo,63
o,18
no,90
so,68
no,89
to,114
jo,172
qe,13
a2,4
ta,107
me,5
jo,171
ta,106
to,113
jo,170
na,27
ro,135
to,112
si,11
ka,21
u,86
na,26
o,17
ra,36
ja,106
ne,27
jo,169
za,8
ni,6
jo,168
we,53
qe,12
wo,62
ro,134
jo,167
jo,166
u,85
re,17
ti,12
ke,9
u,84
ta,105
re,16
to,111
ja,105
wa,24
wo,61
ja,104
jo,165
pi,21
to,110
ta,104
ka,20
po,17
u,83
no,88
ro,133
wo,60
ta,103
ra,35
ne,26
na,25
po,16
to,109
wa,23
wo,59
wo,58
e,9
u,82
ni,5
pa,9
ro,132
jo,164
ta,102
ro,131
ja,103
*19,1
ka,19
wo,57
wo,56
nu,7
nu,6
nu,5
ta,101
ta,100
jo,163
jo,162
qi,2
no,87
ro,130
e,8
to,108
ja,102
u,81
ta,99
ne,25
qo,14
ru,7
ra,34
ro,129
me,4
u,80
jo,161
to,107
u,79
u,78
te,33
mo,24
jo,160
no,86
wo,55
jo,159
ja,101
wa,22
ja,100
we,52
jo,158
ta,98
ko,57
ta,97
mo,23
ro,128
ro,127
de,20
ta,96
u,77
u,76
mo,22
wo,54
ta,95
jo,157
u,75
po,15
u,74
wo,53
de,19
to,106
wo,52
jo,156
ta,94
ja,99
jo,155
du,2
i,16
we,51
te,32
ne,24
ja,98
u,73
ro,126
ko,56
qe,11
jo,154
te,31
se,2
ra,33
ta,93
re,15
jo,153
ne,23
o,16
u,72
ta,92
qe,10
ja,97
ja,96
qo,13
i,15
ta,91
to,105
wo,51
jo,152
to,104
ja,95
mo,21
o,15
u,71
we,50
ri,10
to,103
sa,15
ko,55
so,67
ro,125
re,14
re,13
ra,32
ro,124
ro,123
so,66
po,14
qo,12
to,102
ru,6
no,85
ro,122
ri,9
zo,14
qo,11
qi,1
to,101
to,100
no,84
ta,90
na,24
so,65
to,99
ja,94
no,83
so,64
ro,121
jo,151
ja,93
wo,50
no,82
u,70
ja,92
jo,150
ka,18
po,13
a,7
ke,8
pi,20
u,69
ko,54
ta,89
ma,5
u,68
jo,149
jo,148
to,98
to,97
to,96
mo,20
jo,147
po,12
ko,53
u,67
to,95
to,94
po,11
ja,91
ta,88
to,93
u,66
jo,146
pa,8
jo,145
ra,31
ra2,6
jo,144
ja,90
so,63
ja,89
o,14
ja,88
po,10
pte,2
ro,120
so,62
pi,19
ro,119
ta,87
jo,143
i,14
ko,52
to,92
ko,51
ta,86
jo,142
so,61
pi,18
pi,17
we,49
we,48
jo,141
mo,19
no,81
de,18
ra,30
jo,140
to,91
ro,118
ja,87
ko,50
ro,117
ta,85
we,47
ko,49
ro,116
so,60
jo,139
u,65
jo,138
ro,115
e,7
qo,10
ke,7
no,80
qe,9
to,90
we,46
no,79
ro,114
to,89
no,78
so,59
jo,137
no,77
ra,29
ro,113
wa,21
wo,49
ro,112
u,64
ti,11
to,88
ro,111
i,13
ro2,5
ro2,4
da,7
no,76
wa,20
ro,110
ra,28
ro,109
ro,108
jo,136
ta,84
wo,48
za,7
de,17
e,6
*18,1
ja,86
to,87
na,23
ki,2
u,63
pu,1
ra,27
we,45
pi,16
ja,85
u,62
no,75
re,12
na,22
no,74
u,61
wo,47
u,60
za,6
ja,84
ja,83
ta,83
ro,107
no,73
jo,135
ta,82
qe,8
ro,106
to,86
ro,105
da,6
sa,14
so,58
ro,104
ro,103
u,59
ro,102
ta,81
ko,48
ku,4
qa,9
so,57
ja,82
jo,134
si,10
te,30
to,85
ta,80
de,16
ja,81
jo,133
jo,132
to,84
no,72
na,21
to,83
ro,101
i,12
zo,13
ta,79
ro,100
jo,131
ku,3
ro,99
we,44
jo,130
no,71
pi,15
