character,total,start,middle,end
test,0,0,0,0
*18,3,1,1,1
to,298,49,76,173
no,159,7,35,117
*22,6,2,4,0
ja,260,12,86,162
ro,310,12,115,183
ri,223,19,192,12
ta,310,38,114,158
*34,5,2,3,0
ke,189,33,136,20
te,213,28,132,53
si,123,24,74,25
zo,37,6,10,21
*47,5,4,1,0
da,146,60,76,10
ku,107,75,28,4
de,89,25,28,36
so,111,0,29,82
ti,134,19,101,14
jo,299,3,36,260
*49,3,1,2,0
wo,191,23,70,98
*56,19,8,9,2
du,38,18,18,2
nu,50,1,41,8
ka,257,133,95,29
i,134,47,66,21
ko,212,64,80,68
we,169,24,61,84
po,115,52,41,22
ra,295,61,177,57
ro2,11,0,5,6
ru,75,14,53,8
*63,2,1,1,0
*82,8,1,4,3
a,436,409,13,14
*35,2,0,2,0
*64,2,0,2,0
*65,8,0,7,1
ma,145,65,71,9
na,127,9,80,38
*79,2,0,0,2
o,149,96,22,31
wa,134,16,80,38
ne,120,14,69,37
me,125,52,67,6
ra2,17,0,8,9
di,72,48,22,2
sa,119,44,55,20
je,37,1,33,3
nwa,9,0,4,5
do,67,24,35,8
dwe,2,0,1,1
e,242,174,53,15
qe,63,27,16,20
qo,74,8,43,23
se,53,6,43,4
u,228,18,92,118
re,195,22,146,27
wi,101,26,71,4
a2,37,22,9,6
mo,85,10,25,50
ki,95,27,64,4
ni,84,0,76,8
tu,58,27,30,1
mi,70,17,47,6
mu,19,11,8,0
qa,57,28,19,10
ze,18,4,13,1
pa,110,37,61,12
pi,133,25,80,28
pe,99,41,56,2
pu,56,36,18,2
pu2,24,13,10,1
qi,37,15,20,2
su,36,16,18,2
ta2,7,0,2,5
za,24,5,9,10
a3,49,46,3,0
au,20,20,0,0
*83,6,0,5,1
pte,8,3,3,2
dwo,3,1,1,1
*19,2,0,1,1
ra3,5,0,4,1
*86,2,0,2,0
