middle,count
to,76
ja,86
ri,192
ta,114
ke,136
te,132
ku,28
to,75
so,29
ti,101
du,18
nu,41
i,66
ko,80
po,41
ra,177
ku,27
ri,191
ru,53
te,131
ra,176
*35,2
*35,1
*56,9
da,76
*56,8
*64,2
*64,1
*65,7
ma,71
na,80
*65,6
da,75
ma,70
da,74
ra,175
da,73
ra,174
da,72
ra,173
te,130
da,71
ra,172
ti,100
da,70
wa,80
si,74
da,69
wo,70
de,28
me,67
de,27
de,26
de,25
di,22
*22,4
di,21
je,33
di,20
nwa,4
di,19
ri,190
ja,85
di,18
ri,189
do,35
du,17
po,40
du,16
ru,52
po,39
dwe,1
e,53
da,68
do,34
e,52
ri,188
e,51
ri,187
e,50
ri,186
qo,43
e,49
se,43
e,48
ti,99
i,65
qe,16
ja,84
me,66
ka,95
ka,94
i,64
ka,93
i,63
ka,92
ma,69
ka,91
ma,68
ka,90
ma,67
ka,89
me,65
ka,88
na,79
ka,87
ra,171
ka,86
re,146
ka,85
re,145
u,92
ka,84
sa,55
ka,83
si,73
jo,36
ka,82
ta,113
ka,81
ta,112
ra,170
te,129
so,28
ka,80
ka,79
to,74
ka,78
wi,71
ja,83
ka,77
ke,135
ke,134
e,47
ke,133
ne,69
u,91
ke,132
ke,131
ke,130
ra,169
ke,129
ra,168
ke,128
ra2,8
ke,127
ke,126
re,144
ke,125
re,143
ke,124
re,142
ke,123
re,141
u,90
ke,122
re,140
ke,121
re,139
wi,70
ke,120
ke,119
ke,118
te,128
ke,117
ti,98
ke,116
ti,97
ke,115
ti,96
ri,185
ke,114
ti,95
ri,184
ke,113
ti,94
ri,183
ke,112
to,73
ke,111
ke,110
wa,79
ke,109
wa,78
ki,64
re,138
ki,63
ri,182
ki,62
ti,93
ki,61
ki,60
wa,77
ki,59
wo,69
ni,76
ko,79
da,67
ko,78
da,66
ko,77
da,65
ko,76
i,62
ko,75
mo,25
ni,75
ko,74
ko,73
ra,167
ko,72
ko,71
ro,115
da,64
ko,70
ro,114
qo,42
ko,69
ro,113
ko,68
ro,112
ko,67
so,27
ko,66
so,26
ko,65
te,127
ko,64
ko,63
to,72
ko,62
to,71
ko,61
we,61
i,61
ko,60
ku,26
di,17
ri,181
ku,25
na,78
ku,24
ri,180
ku,23
ku,22
tu,30
ru,51
ku,21
ma,66
ko,59
ma,65
ma,64
ru,50
ma,63
ru,49
ma,62
to,70
ma,61
tu,29
me,64
me,63
me,62
ja,82
me,61
me,60
mi,47
mi,46
ke,108
te,126
mi,45
ni,74
mi,44
ni,73
mi,43
nu,40
wa,76
mi,42
si,72
mi,41
to,69
mo,24
i,60
je,32
mo,23
ke,107
mo,22
ra,166
mo,21
ta,111
mo,20
te,125
jo,35
na,77
mo,19
te,124
mo,18
te,123
wi,69
mo,17
te,122
mu,8
ta,110
na,76
na,75
na,74
ke,106
na,73
ki,58
na,72
mo,16
na,71
qo,41
na,70
re,137
na,69
te,121
na,68
ne,68
ne,67
ne,66
ne,65
ra,165
ne,64
ta,109
ne,63
te,120
ne,62
u,89
ne,61
u,88
ni,72
ni,71
ja,81
ni,70
o,22
no,35
ke,105
no,34
ke,104
no,33
me,59
no,32
no,31
no,30
no,29
wo,68
no,28
qa,19
si,71
no,27
qo,40
no,26
ra,164
no,25
no,24
ze,13
no,23
zo,10
nu,39
nu,38
nu,37
nu,36
nu,35
nu,34
wa,75
nu,33
wi,68
o,21
ri,179
o,20
ri,178
me,58
o,19
ze,12
pa,61
i,59
ti,92
pa,60
je,31
pa,59
ni,69
pa,58
re,136
pa,57
re,135
u,87
pa,56
ri,177
ka,76
na,67
we,60
pa,55
sa,54
ki,57
pa,54
si,70
jo,34
pa,53
pa,52
ta,108
pa,51
u,86
pe,56
a,13
pe,55
do,33
pe,54
e,46
pe,53
