identifier;inscription;numberOfCharacters
KH Ar 4;ka-*56-(so) , e-u-(ko)-ro , wa-ti-jo , pu-na-si-jo , (wo)-ne-wa-ta , to-so , ;6
KH Gq 5;di-wi-jo , di-(we) , di-wo-nu-so , ;3
KH Sq 1;;1
KH X 6;(a)-(ra)-(wo) , [.]-no , ;2
KN Ag 87;]-wa , ko-wa , ko-wo , ;3
KN Ag 88 + 7033;pe-re-ko , ko-wa , ko-wo , ;3
KN Ag 89;to-ro-wo , ;1
KN Ag 90;e-ri-*19 , ko-wo , ;2
KN Ag 91;ke-re-u , ;1
KN Ag 1654;qe-ri-jo , ko-wa , ;2
KN Ag 7000;ko-[ , ;1
KN Ai 63;pe-se-ro-jo , e-e-si , ko-wa , ko-wo , ;4
KN Ai 115;pa-ro , u-wa-si-jo , ko-wo , ;3
KN Ai 190;ko-wa , ko-wa , ;2
KN Ai 194;ko-wa , ko-wo , ;2
KN Ai 321;ko-wo , ;1
KN Ai 338;ko-wa , ]-ja , ko-wo , ;3
KN Ai 632;]-ta-ra2 , ;1
KN Ai 739;ra-su-to , a-ke-ti-ri-ja , ko-wa , ko-wo , ;4
KN Ai 750;ko-wo , ;1
KN Ai 751;]-(wa) , ;1
KN Ai 752 + 753;re-ja , ko-wa , ko-wo , ;3
KN Ai 754;ko-wa , ko-wo , ;2
KN Ai 762;ra-ma-na , e-ne-ra , ;2
KN Ai 824;a-pi-qo-i-ta , do-e-ra , ko-wa , me-zo-e , ko-wa , me-wi-jo-e , ko-wo , me-wi-jo-e , ;8
KN Ai 825;ta-na-qo , a-mi-ni-si-ja , ;2
KN Ai 966+;te-o , do-e-ro , a-ri-ke-u , ka-(pa)-so , ja-[ , ;5
KN Ai 982;]-qo-ta , o-du-ru-wi-ja , ;2
KN Ai 1012;(we)-re-ki-ja , (we)-ka-ta , ;2
KN Ai 1036;*56-so-jo , a-mi-ni-so , do-e-ra , ;3
KN Ai 1037;e-ra , we-ka-sa , qi-ri-ja-to , ;3
KN Ai 1805;di-ka , ;1
KN Ai 5543;ko-wo , ko-wo , ;2
KN Ai 5849;;1
KN Ai 5976 + 8268;si-ra-ko , qi-ri-ja-to , ;2
KN Ai 7014;ko-wo , ;1
KN Ai 7017;ko-wa , ;1
KN Ai 7023 + 7605;ko-wa , ko-wo , ;2
KN Ai 7026 + 8662;(ko)-wa , ko-wo , ;2
KN Ai 7027;ko-wo , ;1
KN Ai 7029;ko-wa , ;1
KN Ai 7745;(ja)-to , si-(qa) , ;2
KN Ai 7867;pi-ja , ;1
KN Ai 7883;(ko)-wo , ;1
KN Ai 7890;ko-[ , ;1
KN Ai 7952;ko-[ , ;1
KN Ai 7962 + 7969;(te)-(ja)-ne , ;1
KN Ai 9257;;1
KN Ai 9269;;1
KN Ai 9478 + 9490;;1
KN Ak 610;ko-wa , me-zo-e , ko-wa , ko-wo , ko-wo , me-wi-jo , ;6
KN Ak 611;to-te-ja , (de)-di-ku-ja , ko-wa , me-zo-e , ko-wo , me-wi-jo , ;6
KN Ak 612;ko-wa , me-zo , ko-wa , me-u-jo , da-te-we-ja , ko-wo , me-zo , (ko)-(wo) , ;8
KN Ak 613;qa-mi-ja , ko-wa , me-u-jo-e , ko-wo , ;4
KN Ak 614;ko-wa , me-zo-e , ko-wa , me-u-(jo) , ko-wo , me-zo , ko-wo , me-u-jo , ;8
KN Ak 615;a-no-qo-ta , ko-wa , me-zo-e , ko-wa , me-(u) , ko-wo , me-(zo)-e , ko-wo , me-u-(jo) , (a)-pe-a-(sa) , ;10
KN Ak 616;u-jo-e , me-u-jo-e , ;2
KN Ak 617;me-zo-e , ko-wa , me-u-jo , (me)-zo-e , ko-wo , me-u-jo , ;6
KN Ak 619 + 5633 + 5963 + 6010 + 8258 + 8687;ko-wa , me-zo-e , jo-e , ko-wo , ko-wo , me-zo-e , ko-wo , me-wi-jo-e , ;8
KN Ak 620 + 6028;ko-wa , ko-wa , ke-ja , ko-wo , ;4
KN Ak 621;ko-wa , me-zo-e , ko-(wa) , da-wo , ko-wo , me-zo-e , ;6
KN Ak 622;we-we-si-jo-jo , ko-wa , me-zo-e , ko-wo , ;4
KN Ak 624;ri-jo-ni-ja , ko-wa , me-zo-e , ko-wo , ko-wo , me-zo-e , ;6
KN Ak 626;ko-no-so , me-wi-jo-e , me-wi-jo-e , ;3
KN Ak 627+;]-to , a-no-zo-jo , ko-wa , me-zo-e , ko-wa , me-wi-jo-e , ko-wo , me-zo-e , ko-wo , me-wi-jo-e , ;10
KN Ak 630;tu-ni-ja , we-ko-we-ka-te , ]-(wo) , ;3
KN Ak;ko-wo , me-u-jo-e , ;2
KN Ak 634 + 5767;(se)-(to)-i-ja , ko-wa , me-u , ko-wo , ;4
KN Ak 636;ko-wa , me-zo , ko-wa , me-u-jo-e , ;4
KN Ak 638;e-ne-re-ja , ko-wa , a-mi-ni-so , ko-wo , ;4
KN Ak 640;]-sa-tu , (ko)-(wa) , ko-wo , ;3
KN Ak 643;ko-no-so , ko-u-re-ja , ;2
KN Ak 780 + 7004 + 7045 + 7767;da-wi-ja , ne-ki-ri-de , ko-wa , me-wi-jo , ko-wo , me-(wi) , ;6
KN Ak 781 + 8339;di-da-ka-re , ko-wa , di-da-ka-re , ko-wo , ;4
KN Ak 782;me-wi-jo-e , ;1
KN Ak 783+;di-da-ka-re , me-wi-jo-e , me-wi-jo-e , ;3
KN Ak 784+;we-ra-ti-ja , me-zo-e , di-da-ka-re , me-zo-e , di-da-ka-re , ;5
KN Ak 828;pa-i-ti-ja , ko-wa , me-zo-e , di-da-ka , ko-wo , me-zo-e , di-(da) , ;7
KN Ak 830;du-wi-ja , po-(si) , me-zo-e , me-zo-e , ;4
KN Ak;ko-wa , me-zo , me-u-jo-e , ;3
KN Ak 2126;ko-wa , me-wi-(jo)-(e) , ko-wa , me-zo , e-[ , ;5
KN Ak 5009+;ka-pa-ra2 , ko-wa , (a)-ra-ka-te-ja , ;3
KN Ak 5553;ko-ro-ka-[ , (ko)-wa , me-zo , ;3
KN Ak 5604;;1
KN Ak 5611;ko-wo , ;1
