identifier;location;series;inscription;original
KH Ar 4;KH;Ar;ka-*56-(so) , e-u-(ko)-ro , wa-ti-jo , pu-na-si-jo , (wo)-ne-wa-ta , to-so , ;.1 ]po ka-*56-(so) e-u-(ko)-ro (1) wa-ti-jo 1 [ .2 ]pu-na-si-jo 1 (wo)-ne-wa-ta 1 vest[ .3 ] to-so VIR (6) (vest) [
KH Gq 5;KH;Gq;di-wi-jo , di-(we) , di-wo-nu-so , ;.1 di-wi-jo[ ]di-(we) (ME)+(RI) (*209VAS)+(A) (1) [ .2 di-wo-nu-so (ME)+(RI) [ ] (2)
KH Sq 1;KH;Sq;;]ROTA ZE 10[
KH X 6;KH;X;(a)-(ra)-(wo) , [.]-no , ;](a)-(ra)-(wo) / [.]-no vest
KN Ag 87;KN;Ag;]-wa , ko-wa , ko-wo , ;]-wa VIR 1 MUL 2 'ko-wa 1' ko-wo 1
KN Ag 88 + 7033;KN;Ag;pe-re-ko , ko-wa , ko-wo , ;pe-re-ko VIR 1 MUL 1 ko-wa 2 , ko-wo 1
KN Ag 89;KN;Ag;to-ro-wo , ;]to-ro-wo VIR 1
KN Ag 90;KN;Ag;e-ri-*19 , ko-wo , ;e-ri-*19 VIR 1 ko-wo 1
KN Ag 91;KN;Ag;ke-re-u , ;ke-re-u VIR 1 MUL 1 [
KN Ag 1654;KN;Ag;qe-ri-jo , ko-wa , ;qe-ri-jo VIRc 1 MUL 1 ko-wa [
KN Ag 7000;KN;Ag;ko-[ , ;] VIR 1 MUL 1 ko-[
KN Ai 63;KN;Ai;pe-se-ro-jo , e-e-si , ko-wa , ko-wo , ;.a pe-se-ro-jo , e-e-si .b MUL 1 ko-wa 1 ko-wo 1 Confirmed with Chadwick & Ventris 1973
KN Ai 115;KN;Ai;pa-ro , u-wa-si-jo , ko-wo , ;pa-ro , u-wa-si-jo , ko-wo [
KN Ai 190;KN;Ai;ko-wa , ko-wa , ;] ko-wa 1 di ko-wa 1
KN Ai 194;KN;Ai;ko-wa , ko-wo , ;] MUL 3 ko-wa 1 ko-wo 2 [
KN Ai 321;KN;Ai;ko-wo , ;] (MUL) 1 ko-wo 1 [
KN Ai 338;KN;Ai;ko-wa , ]-ja , ko-wo , ;.A ] ko-wa 6 .B ]-ja MUL (5) ko-wo 2
KN Ai 632;KN;Ai;]-ta-ra2 , ;]-ta-ra2 MUL 1
KN Ai 739;KN;Ai;ra-su-to , a-ke-ti-ri-ja , ko-wa , ko-wo , ;ra-su-to , 'a-ke-ti-ri-ja' MUL 2 ko-wa 1 ko-wo 1
KN Ai 750;KN;Ai;ko-wo , ;] ko-wo 2 GRA 1 T 2 [
KN Ai 751;KN;Ai;]-(wa) , ;]-(wa) 1 GRA T 5
KN Ai 752 + 753;KN;Ai;re-ja , ko-wa , ko-wo , ;]re-ja MUL (3) ko-wa 1 ko-wo 1 GRA (T) [
KN Ai 754;KN;Ai;ko-wa , ko-wo , ;] MUL 3 ko-wa 2 ko-wo 2
KN Ai 762;KN;Ai;ra-ma-na , e-ne-ra , ;]ra-ma-na , / e-ne-ra MUL [
KN Ai 824;KN;Ai;a-pi-qo-i-ta , do-e-ra , ko-wa , me-zo-e , ko-wa , me-wi-jo-e , ko-wo , me-wi-jo-e , ;a-pi-qo-i-ta / do-e-ra MUL 32 ko-wa , me-zo-e 5 ko-wa me-wi-jo-e 15 ko-wo me-wi-jo-e 4 Confirmed with Chadwick & Ventris 1973
KN Ai 825;KN;Ai;ta-na-qo , a-mi-ni-si-ja , ;]ta-na-qo , a-mi-ni-si-ja , [ ]ra MUL [
KN Ai 966+;KN;Ai;te-o , do-e-ro , a-ri-ke-u , ka-(pa)-so , ja-[ , ;.a te-o , do-e-ro [ .b a-ri-ke-u , / ka-(pa)-so ja-[
