identifier;location;series;inscription;original
KN Ag 87;KN;Ag;]-wa , ;]-wa VIR 1 MUL 2 'ko-wa 1' ko-wo 1
KN Ag 88 + 7033;KN;Ag;pe-re-ko , ;pe-re-ko VIR 1 MUL 1 ko-wa 2 , ko-wo 1
KN Ag 89;KN;Ag;to-ro-wo , ;]to-ro-wo VIR 1
KN Ag 90;KN;Ag;e-ri-*19 , ;e-ri-*19 VIR 1 ko-wo 1
KN Ag 91;KN;Ag;ke-re-u , ;ke-re-u VIR 1 MUL 1 [
KN Ag 1654;KN;Ag;qe-ri-jo , ;qe-ri-jo VIRc 1 MUL 1 ko-wa [
KN Ai 338;KN;Ai;]-ja , ;.A ] ko-wa 6 .B ]-ja MUL (5) ko-wo 2
KN Ai 632;KN;Ai;]-ta-ra2 , ;]-ta-ra2 MUL 1
KN Ai 752 + 753;KN;Ai;re-ja , ;]re-ja MUL (3) ko-wa 1 ko-wo 1 GRA (T) [
KN Ai 762;KN;Ai;e-ne-ra , ;]ra-ma-na , / e-ne-ra MUL [
KN Ai 824;KN;Ai;do-e-ra , ;a-pi-qo-i-ta / do-e-ra MUL 32 ko-wa , me-zo-e 5 ko-wa me-wi-jo-e 15 ko-wo me-wi-jo-e 4 Confirmed with Chadwick & Ventris 1973
KN Ak 611;KN;Ak;to-te-ja , (de)-di-ku-ja , ;to-te-ja , TA 2 DA 1 MUL 10[ ](de)-di-ku-ja MUL 1[ ko-wa , / me-zo-e 4 [ ] ko-wo , me-wi-jo (1)[ vacat [
KN Ak 615;KN;Ak;a-no-qo-ta , ;]a-no-qo-ta MUL 30 [ ] ko-wa , me-zo-e 6 ko-wa , me-(u)[ ] ko-wo me-(zo)-e (3) ko-wo me-u-(jo)[ lat. inf. ](a)-pe-a-(sa) 2(4)[
KN Ak 624;KN;Ak;ri-jo-ni-ja , ;ri-jo-ni-ja TA [ ] 'DA [ ]' [ ne di ko-wa me-zo-e [ ko-wo di 3 ko-wo me-zo-e [
KN Ak 780 + 7004 + 7045 + 7767;KN;Ak;ne-ki-ri-de , ;da-wi-ja , ne-ki-ri-de MUL 2 pe VIR 2 ko-wa me-wi-jo[ ]1 ko-wo me-(wi)[ ]E 3
KN Ak 7001;KN;Ak;(ke)-ti-ri-ja , ;](ke)-ti-ri-ja , MUL 1[ ](wi)-jo-e 4 ko-wa [ ] vacat [
KN Ak 7827;KN;Ak;(jo)-jo , ;](jo)-jo MUL 50[
KN Am 601;KN;Am;a-mi-ni-si-jo , ;.a e-te , e-so-to , a-mo-ra-ma .b to-so , / a-mi-ni-si-jo , VIR 9
KN Am 819;KN;Am;we-ke-i-ja , si-to , ;.A ] we-ke-i-ja VIR 18 'ko-wo' 8 .B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3
KN Am 821;KN;Am;(e)-mi-to , o-pa , ;]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1)
KN Am 826;KN;Am;te-re-ta , ;a-pa-ta-wa-jo te-re-ta VIR 4(5)
KN Am 827+;KN;Am;si-mi-te-u , a-wa-ti-ka-ra , ;si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ ko-wo 1 [
KN Am 5882+;KN;Am;ka-ma-jo , ;]-so / ka-ma-jo , VIR 16[
KN Am 601;KN;Am;a-mi-ni-si-jo , ;.a e-te , e-so-to , a-mo-ra-ma .b to-so , / a-mi-ni-si-jo , VIR 9
KN Am 819;KN;Am;we-ke-i-ja , si-to , ;.A ] we-ke-i-ja VIR 18 'ko-wo' 8 .B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3
KN Am 821;KN;Am;(e)-mi-to , o-pa , ;]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1)
KN Am 826;KN;Am;te-re-ta , ;a-pa-ta-wa-jo te-re-ta VIR 4(5)
KN Am 827+;KN;Am;si-mi-te-u , a-wa-ti-ka-ra , ;si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ ko-wo 1 [
KN Am 5882+;KN;Am;ka-ma-jo , ;]-so / ka-ma-jo , VIR 16[
KN Am 601;KN;Am;a-mi-ni-si-jo , ;.a e-te , e-so-to , a-mo-ra-ma .b to-so , / a-mi-ni-si-jo , VIR 9
KN Am 819;KN;Am;we-ke-i-ja , si-to , ;.A ] we-ke-i-ja VIR 18 'ko-wo' 8 .B ](qa)-ra / si-to LUNA 1 HORD 9 T 7 V 3
KN Am 821;KN;Am;(e)-mi-to , o-pa , ;]ra-jo , / e-qe-ta-e , e-ne-ka , (e)-mi-to VIR 2 // ki-ta-ne-to , / su-ri-mo , e-ne-ka , o-pa VIR (1)
KN Am 826;KN;Am;te-re-ta , ;a-pa-ta-wa-jo te-re-ta VIR 4(5)
KN Am 827+;KN;Am;si-mi-te-u , a-wa-ti-ka-ra , ;si-mi-te-u VIR 1 a-wa-ti-ka-ra MUL 1 [ ko-wo 1 [
KN Am 5882+;KN;Am;ka-ma-jo , ;]-so / ka-ma-jo , VIR 16[
KN Ap 618+;KN;Ap;do-ti-ja , *56-ko-we , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;a-pe-a-sa / i-ta-mo , do-ti-ja , MUL 1 ki-nu-qa *56-ko-we MUL 1 [ (ti)-wa-ti-ja / a-*79 a-no-qo-ta MUL 3[ ] ko-ma-we-to MUL 2 we-ra-te-ja MUL 2 [
KN Ap 628+;KN;Ap;do-e-ra , ;.1A vacat [ .1B ](i)-ja , / a-ke-wo do-e-ra MUL 4 [ [ ko ] ] [ .2 ]ro , / do-e-ra (MUL) 1 di-qa-ra[ .3 ]ne-o , / do-e-ra (MUL)[
KN Ap 637;KN;Ap;ko-so-jo , ;(a)-ke-si-ja , ka-(ma)[ ko-so-jo , MUL 1 tu 2[ (da)-[
KN Ap 639;KN;Ap;a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , e-ra-ja , to-sa , e-ti-wa-ja , sa-ti-(qi)-(to) , sa-mi , pu-wa , si-ne-e-ja , u-pa-ra , a2-no , (du)-tu-wa , ke-pu , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;]-me-no X MUL 1 tu-zo X MUL 1 ko-pi X MUL (1) [ ] a-to-me-ja MUL 1 da-te-ne-ja MUL 1 X pa-ja-ni MUL 1 [ ](pi)[ ] wo-di-je-ja MUL 1 ko-wo 1 du-sa-ni X MUL 1 ma-ku[ ] pa-i-ti-ja X MUL 1 pi-ra-ka-ra X MUL 1 *18-to-no , / tu , MUL 2 X wi-so (MUL) 1 X e-ra-ja MUL 7 ko-wa 1 ko-wo 1 to-sa MUL 45 ko-wa 5 ko-(wo) 4 ke-ra-me-ja X MUL 1 ko-wo 1 tu-*49-mi X MUL 1 i-du X (MUL)[ ] tu-ka-to X MUL 1 e-ti-wa-ja MUL 1 sa-ma-ti-ja X MUL 1 (si)-[ ku-tu-qa-no X MUL 1 wi-da-ma-ta2 X MUL 1 ka-na-to-po X MUL 1 sa-ti-(qi)-(to) MUL 1 tu-ka-na X MUL 1 sa-*65 X MUL 1 u-jo-na X MUL 1 sa-mi MUL 1 (a)-de-ra2 X MUL 1 tu-ka-na X MUL 1 pu-wa MUL 1 X si-nu-ke X MUL 1 ]qi-ti-ta X MUL 1 si-ne-e-ja MUL 1 X u-pa-ra MUL 1 X ru-ta2-no MUL ](du)-tu-wa MUL 1 ko-wa 2 ke-pu MUL 1 ko-wa 2 wa-ra-ti MUL ]-(ja)-si-ja MUL 4 a-nu-wa-to MUL 1[
KN Ap 694;KN;Ap;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;](ja) , / ko-u-re-ja MUL (1)[ ]ka-ra-we MUL 1[ ] a-ze-ti-ri-ja MUL 1[ ] vacat [
KN Ap 769;KN;Ap;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;](i)-ta-no MUL 1 ka-*56-so-ta MUL 1 a2-du-wo-na MUL 1 ]wi-ja-na-tu MUL 1 i-ta-ja MUL 1
KN Ap 5547+;KN;Ap;ja-mi-nu , ;]ja-mi-nu MUL 1 ] MUL (10)[
KN Ap 5748+;KN;Ap;o-ri-mo , o-sa-po-to , ;]si 1 tu 1 ki-zo 1 MUL (3) (TELA)[ ](a)-ma-no-[ ]1 o-ri-mo MUL 3 TELA+TE 1 pu-zo , ti-no , pi-ja-mu-nu (MUL)[ ]ni-ta , o-sa-po-to MUL 3 TELA+TE 1 [ ] vacat [
KN Ap 5864;KN;Ap;]-(u)-(ra) , te-qa-ja , ja-mu-(ta) , ;sup. mut. ](X) MUL 1 ]-(u)-(ra) MUL 1 X ]na (MUL) (1) (tu)-ka-na X MUL 1 ]ma MUL 1 te-qa-ja MUL 1 ]ja (MUL) 1[ ]ja-mu-(ta) MUL (1)[ ]-ta2-no[ inf. mut.
KN Ap 5868+;KN;Ap;to-sa , ka-ra-we , ;](no)-(si)-ja / to-sa MUL 26 (di)[ ]7 ko-wo 9 ka-ra-we MUL 6 [ lat. inf. ] e-u-[
KN Ap 618+;KN;Ap;do-ti-ja , *56-ko-we , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;a-pe-a-sa / i-ta-mo , do-ti-ja , MUL 1 ki-nu-qa *56-ko-we MUL 1 [ (ti)-wa-ti-ja / a-*79 a-no-qo-ta MUL 3[ ] ko-ma-we-to MUL 2 we-ra-te-ja MUL 2 [
KN Ap 628+;KN;Ap;do-e-ra , ;.1A vacat [ .1B ](i)-ja , / a-ke-wo do-e-ra MUL 4 [ [ ko ] ] [ .2 ]ro , / do-e-ra (MUL) 1 di-qa-ra[ .3 ]ne-o , / do-e-ra (MUL)[
KN Ap 637;KN;Ap;ko-so-jo , ;(a)-ke-si-ja , ka-(ma)[ ko-so-jo , MUL 1 tu 2[ (da)-[
KN Ap 639;KN;Ap;a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , e-ra-ja , to-sa , e-ti-wa-ja , sa-ti-(qi)-(to) , sa-mi , pu-wa , si-ne-e-ja , u-pa-ra , a2-no , (du)-tu-wa , ke-pu , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;]-me-no X MUL 1 tu-zo X MUL 1 ko-pi X MUL (1) [ ] a-to-me-ja MUL 1 da-te-ne-ja MUL 1 X pa-ja-ni MUL 1 [ ](pi)[ ] wo-di-je-ja MUL 1 ko-wo 1 du-sa-ni X MUL 1 ma-ku[ ] pa-i-ti-ja X MUL 1 pi-ra-ka-ra X MUL 1 *18-to-no , / tu , MUL 2 X wi-so (MUL) 1 X e-ra-ja MUL 7 ko-wa 1 ko-wo 1 to-sa MUL 45 ko-wa 5 ko-(wo) 4 ke-ra-me-ja X MUL 1 ko-wo 1 tu-*49-mi X MUL 1 i-du X (MUL)[ ] tu-ka-to X MUL 1 e-ti-wa-ja MUL 1 sa-ma-ti-ja X MUL 1 (si)-[ ku-tu-qa-no X MUL 1 wi-da-ma-ta2 X MUL 1 ka-na-to-po X MUL 1 sa-ti-(qi)-(to) MUL 1 tu-ka-na X MUL 1 sa-*65 X MUL 1 u-jo-na X MUL 1 sa-mi MUL 1 (a)-de-ra2 X MUL 1 tu-ka-na X MUL 1 pu-wa MUL 1 X si-nu-ke X MUL 1 ]qi-ti-ta X MUL 1 si-ne-e-ja MUL 1 X u-pa-ra MUL 1 X ru-ta2-no MUL ](du)-tu-wa MUL 1 ko-wa 2 ke-pu MUL 1 ko-wa 2 wa-ra-ti MUL ]-(ja)-si-ja MUL 4 a-nu-wa-to MUL 1[
KN Ap 694;KN;Ap;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;](ja) , / ko-u-re-ja MUL (1)[ ]ka-ra-we MUL 1[ ] a-ze-ti-ri-ja MUL 1[ ] vacat [
KN Ap 769;KN;Ap;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;](i)-ta-no MUL 1 ka-*56-so-ta MUL 1 a2-du-wo-na MUL 1 ]wi-ja-na-tu MUL 1 i-ta-ja MUL 1
KN Ap 5547+;KN;Ap;ja-mi-nu , ;]ja-mi-nu MUL 1 ] MUL (10)[
KN Ap 5748+;KN;Ap;o-ri-mo , o-sa-po-to , ;]si 1 tu 1 ki-zo 1 MUL (3) (TELA)[ ](a)-ma-no-[ ]1 o-ri-mo MUL 3 TELA+TE 1 pu-zo , ti-no , pi-ja-mu-nu (MUL)[ ]ni-ta , o-sa-po-to MUL 3 TELA+TE 1 [ ] vacat [
KN Ap 5864;KN;Ap;]-(u)-(ra) , te-qa-ja , ja-mu-(ta) , ;sup. mut. ](X) MUL 1 ]-(u)-(ra) MUL 1 X ]na (MUL) (1) (tu)-ka-na X MUL 1 ]ma MUL 1 te-qa-ja MUL 1 ]ja (MUL) 1[ ]ja-mu-(ta) MUL (1)[ ]-ta2-no[ inf. mut.
KN Ap 5868+;KN;Ap;to-sa , ka-ra-we , ;](no)-(si)-ja / to-sa MUL 26 (di)[ ]7 ko-wo 9 ka-ra-we MUL 6 [ lat. inf. ] e-u-[
KN Ap 618+;KN;Ap;do-ti-ja , *56-ko-we , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;a-pe-a-sa / i-ta-mo , do-ti-ja , MUL 1 ki-nu-qa *56-ko-we MUL 1 [ (ti)-wa-ti-ja / a-*79 a-no-qo-ta MUL 3[ ] ko-ma-we-to MUL 2 we-ra-te-ja MUL 2 [
KN Ap 628+;KN;Ap;do-e-ra , ;.1A vacat [ .1B ](i)-ja , / a-ke-wo do-e-ra MUL 4 [ [ ko ] ] [ .2 ]ro , / do-e-ra (MUL) 1 di-qa-ra[ .3 ]ne-o , / do-e-ra (MUL)[
KN Ap 637;KN;Ap;ko-so-jo , ;(a)-ke-si-ja , ka-(ma)[ ko-so-jo , MUL 1 tu 2[ (da)-[
