stem,totalCount,confirmed,inflection,count,correct
*56-ko-we,382,TRUE,*56-ko-we-e,80,Y
*56-ko-we,382,TRUE,*56-ko-we-i,78,Y
*56-ko-we,382,TRUE,*56-ko-we-i-jo,39,Y
*56-ko-we,382,TRUE,*56-ko-we,185,Y
a3-ti-jo,144,FALSE,a3-ti-jo-qe,72,N
a3-ti-jo,144,FALSE,a3-ti-jo-qo,72,N
a-ja-me,1588,TRUE,a-ja-me-na,742,Y
a-ja-me,1588,TRUE,a-ja-me,66,N
a-ja-me,1588,TRUE,a-ja-me-no,780,Y
a-ke-o,23460,TRUE,a-ke-o,11730,Y
a-ke-o,23460,TRUE,a-ke-o-jo,11730,Y
a-ke-re,934,TRUE,a-ke-re-wi-jo,57,N
a-ke-re,934,TRUE,a-ke-re-u-te,57,N
a-ke-re,934,TRUE,a-ke-re-wa,432,N
a-ke-re,934,TRUE,a-ke-re,57,Y
a-ke-re,934,TRUE,a-ke-re-we,57,N
a-ke-re,934,TRUE,a-ke-re-wa-de,9,N
a-ke-re,934,TRUE,a-ke-re-mo,53,N
a-ke-re,934,TRUE,a-ke-re-mo-no,212,N
a-ko-ra,318,TRUE,a-ko-ra-jo,84,Y
a-ko-ra,318,TRUE,a-ko-ra,150,Y
a-ko-ra,318,TRUE,a-ko-ra-ja,84,Y
a-ko-ro,1760,TRUE,a-ko-ro-qo-ro,150,N
a-ko-ro,1760,TRUE,a-ko-ro,552,N
a-ko-ro,1760,TRUE,a-ko-ro-ta,150,N
a-ko-ro,1760,TRUE,a-ko-ro-da-mo,76,N
a-ko-ro,1760,TRUE,a-ko-ro-we-i,13,N
a-ko-ro,1760,TRUE,a-ko-ro-we-e,273,N
a-ko-ro,1760,TRUE,a-ko-ro-we,546,N
a-ko-ro-we,1890,TRUE,a-ko-ro-we-e,903,Y
a-ko-ro-we,1890,TRUE,a-ko-ro-we,924,Y
a-ko-ro-we,1890,TRUE,a-ko-ro-we-i,63,Y
a-ko-so,1728,TRUE,a-ko-so-ne,519,N
a-ko-so,1728,TRUE,a-ko-so-ne-qe,173,N
a-ko-so,1728,TRUE,a-ko-so,176,N
a-ko-so,1728,TRUE,a-ko-so-ta-o,630,N
a-ko-so,1728,TRUE,a-ko-so-ta,230,N
a-ko-so-ta,11592,TRUE,a-ko-so-ta,5796,Y
a-ko-so-ta,11592,TRUE,a-ko-so-ta-o,5796,Y
a-ko-to,126,TRUE,a-ko-to-wo,63,N
a-ko-to,126,TRUE,a-ko-to,63,N
a-mi-ni,512,FALSE,a-mi-ni-so,160,Y
a-mi-ni,512,FALSE,a-mi-ni-so-de,96,Y
a-mi-ni,512,FALSE,a-mi-ni-si-ja,96,Y
a-mi-ni,512,FALSE,a-mi-ni-si-jo,112,Y
a-mi-ni,512,FALSE,a-mi-ni-si,48,Y
a-mi-ni-si,162,TRUE,a-mi-ni-si-jo,63,Y
